,voltage,POWER,pump_mode,evt_timestamp,flow,head,CURRENT,speed,deviceid,devicetype,rcv_timestamp_utc,updated_utc
0,434.0,18.769,a,2020-01-20 14:00:01.070,1237.958,60.609,32.19,1137.0,111137F8,pump_agupta_v1,2021-10-27 13:10:10.000,2021-10-27 13:10:09.000
1,434.0,18.668,a,2020-01-20 14:05:00.980,1229.534,60.543,32.39,1135.0,111137F8,pump_agupta_v1,2021-10-27 13:10:20.000,2021-10-27 13:10:19.000
2,434.0,18.742,a,2020-01-20 14:10:01.200,1229.134,60.817,32.8,1137.0,111137F8,pump_agupta_v1,2021-10-27 13:10:30.000,2021-10-27 13:10:29.000
3,433.0,18.682,a,2020-01-20 14:15:01.110,1233.697,60.478,32.51,1135.0,111137F8,pump_agupta_v1,2021-10-27 13:10:40.000,2021-10-27 13:10:39.000
4,433.0,18.696,a,2020-01-20 14:20:01.140,1228.706,60.694,32.86,1136.0,111137F8,pump_agupta_v1,2021-10-27 13:10:50.000,2021-10-27 13:10:49.000
5,436.0,18.782,a,2020-01-20 22:50:03.300,1233.056,60.857,32.48,1138.0,111137F8,pump_agupta_v1,2021-10-27 13:27:51.000,2021-10-27 13:27:50.000
6,433.0,18.65,a,2020-01-20 22:55:03.260,1225.785,60.4,32.39,1134.0,111137F8,pump_agupta_v1,2021-10-27 13:28:01.000,2021-10-27 13:28:00.000
7,434.0,18.637,a,2020-01-20 23:00:03.230,1239.029,60.385,32.34,1135.0,111137F8,pump_agupta_v1,2021-10-27 13:28:11.000,2021-10-27 13:28:10.000
8,433.0,18.64,a,2020-01-20 23:05:03.190,1232.034,60.483,32.51,1135.0,111137F8,pump_agupta_v1,2021-10-27 13:28:22.000,2021-10-27 13:28:20.000
9,433.0,18.667,a,2020-01-20 23:10:03.300,1238.068,60.276,32.73,1134.0,111137F8,pump_agupta_v1,2021-10-27 13:28:31.000,2021-10-27 13:28:30.000
10,434.0,18.683,a,2020-01-21 00:55:03.800,1221.896,60.754,32.61,1136.0,111137F8,pump_agupta_v1,2021-10-27 13:32:02.000,2021-10-27 13:32:01.000
11,433.0,18.652,a,2020-01-21 01:00:03.630,1229.443,60.412,32.52,1134.0,111137F8,pump_agupta_v1,2021-10-27 13:32:12.000,2021-10-27 13:32:11.000
12,433.0,18.608,a,2020-01-21 01:05:03.780,1227.526,60.458,32.59,1134.0,111137F8,pump_agupta_v1,2021-10-27 13:32:22.000,2021-10-27 13:32:21.000
13,433.0,18.559,a,2020-01-21 01:10:03.870,1227.036,60.437,32.4,1134.0,111137F8,pump_agupta_v1,2021-10-27 13:32:32.000,2021-10-27 13:32:31.000
14,434.0,18.83,a,2020-01-21 01:15:03.770,1237.652,60.483,32.72,1136.0,111137F8,pump_agupta_v1,2021-10-27 13:32:42.000,2021-10-27 13:32:41.000
